glasser_roi,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
Primary_visual_cortex,0.06461456306976389,0.20424892410683787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medial_superior_temporal_area,0.00502415458937198,0.0,0.0,0.0,0.01910477006919356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sixth_Visual_Area,0.0,0.06525392466286839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014344115326687227,0.0,0.0,0.0,0.0,0.0,0.0
Second_Visual_Area,0.08048194668661651,0.1301889916503063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018854287779279135,0.0,0.0,0.0,0.0008894536213468869,2.8382079554968997e-05,0.0
Third_Visual_Area,0.08755478064181707,0.05559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forth_Visual_Area,0.09279331676624544,0.0029342522774574364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eighth_Visual_Area,0.04967027648375583,0.00016299254309115355,0.0,0.0,5.768676088837612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary_Motor_Cortex,0.0,0.0,0.11786124952088924,0.07292596382001437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary_Sensory_Cortex,0.0,0.0,0.07799169933133503,0.02905705983697189,0.0,0.0018438844499078055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frontal_Eye_Field,0.0,0.0,0.004810226673695309,0.0060790273556231,0.012034317959348189,0.031777557100297914,0.0071900257515106715,0.00015711741908452917,0.0,0.0,0.0,0.006583741676089961,0.0005577723430728966,0.0,0.0,0.0,0.0
