,roi_name,geom_mne,idx_csv,roi_name_csv,geom_csv
0,7Networks_LH_Cont_Cing_1,[-8.446813583374023 -29.01348304748535 28.885051727294922],71,7Networks_LH_Cont_Cing_1,[-4 -28 28]
1,7Networks_LH_Cont_Cing_2,[-6.240661144256592 2.7394280433654785 30.226892471313477],72,7Networks_LH_Cont_Cing_2,[-4 4 30]
2,7Networks_LH_Cont_PFCl_1,[-31.280492782592773 38.78068161010742 -8.203615188598633],64,7Networks_LH_Cont_OFC_1,[-32 42 -14]
3,7Networks_LH_Cont_PFCl_2,[-39.06201171875 44.74260330200195 -4.839688301086426],65,7Networks_LH_Cont_PFCl_1,[-42 50 -6]
4,7Networks_LH_Cont_PFCl_3,[-25.701366424560547 47.52610397338867 5.547397136688232],66,7Networks_LH_Cont_PFCl_2,[-28 58 8]
5,7Networks_LH_Cont_PFCl_4,[-36.545936584472656 35.60300827026367 16.27762222290039],67,7Networks_LH_Cont_PFCl_3,[-42 40 16]
6,7Networks_LH_Cont_PFCl_5,[-36.132110595703125 21.96875 23.587467193603516],68,7Networks_LH_Cont_PFCl_4,[-44 20 28]
7,7Networks_LH_Cont_PFCl_6,[-37.94725799560547 2.937765598297119 39.46826171875],69,7Networks_LH_Cont_PFCl_5,[-42 6 44]
8,7Networks_LH_Cont_Par_1,[-49.25603485107422 -52.653953552246094 38.56924819946289],60,7Networks_LH_Cont_Par_1,[-54 -50 46]
9,7Networks_LH_Cont_Par_2,[-35.268882751464844 -60.85431671142578 38.57756805419922],61,7Networks_LH_Cont_Par_2,[-34 -62 48]
10,7Networks_LH_Cont_Par_3,[-44.50625228881836 -44.87679672241211 40.205387115478516],62,7Networks_LH_Cont_Par_3,[-46 -42 46]
11,7Networks_LH_Cont_Temp_1,[-55.68684005737305 -43.462440490722656 -14.301913261413574],63,7Networks_LH_Cont_Temp_1,[-60 -42 -14]
12,7Networks_LH_Cont_pCun_1,[-11.672101974487305 -69.0564193725586 37.38286590576172],70,7Networks_LH_Cont_pCun_1,[-10 -74 38]
13,7Networks_LH_Default_PCC_1,[-11.26970386505127 -58.079551696777344 10.987801551818848],95,7Networks_LH_Default_pCunPCC_1,[-10 -56 12]
14,7Networks_LH_Default_PCC_2,[-11.333731651306152 -53.86128616333008 26.332138061523438],96,7Networks_LH_Default_pCunPCC_2,[-6 -54 28]
15,7Networks_LH_Default_PCC_3,[-5.289736747741699 -27.809682846069336 36.818824768066406],97,7Networks_LH_Default_pCunPCC_3,[-4 -30 36]
16,7Networks_LH_Default_PCC_4,[-9.503862380981445 -54.35955047607422 41.363136291503906],98,7Networks_LH_Default_pCunPCC_4,[-6 -54 42]
17,7Networks_LH_Default_PFC_1,[-28.82552146911621 24.32423973083496 -11.54062271118164],82,7Networks_LH_Default_PFC_1,[-34 20 -14]
18,7Networks_LH_Default_PFC_10,[-8.266353607177734 29.16754722595215 42.224151611328125],91,7Networks_LH_Default_PFC_10,[-4 34 44]
