regionName,schaefer
V1_L,7Networks_LH_Vis_10
V6_L,7Networks_LH_Vis_12
V2_L,7Networks_LH_Vis_13
V3_L,7Networks_LH_Vis_13
V4_L,7Networks_LH_Vis_2
V3A_L,7Networks_LH_Vis_14
V7_L,7Networks_LH_Vis_14
IPS1_L,7Networks_LH_DorsAttn_Post_3
V3B_L,7Networks_LH_Vis_14
V6A_L,7Networks_LH_Vis_13
MST_L,7Networks_LH_Vis_8
V8_L,7Networks_LH_Vis_2
FFC_L,7Networks_LH_DorsAttn_Post_1
LO1_L,7Networks_LH_Vis_11
LO2_L,7Networks_LH_Vis_3
PIT_L,7Networks_LH_Vis_3
MT_L,7Networks_LH_Vis_8
A1_L,7Networks_LH_SomMot_2
52_L,7Networks_LH_SomMot_3
RI_L,7Networks_LH_SomMot_3
PFcm_L,7Networks_LH_SalVentAttn_ParOper_1
TA2_L,7Networks_LH_SomMot_1
EC_L,7Networks_LH_Limbic_TempPole_1
PreS_L,7Networks_LH_Default_PHC_1
H_L,7Networks_LH_Default_PHC_1
PeEc_L,7Networks_LH_Limbic_TempPole_1
STGa_L,7Networks_LH_Default_Temp_3
PBelt_L,7Networks_LH_SomMot_2
A5_L,7Networks_LH_Default_Temp_4
PHA1_L,7Networks_LH_Default_PHC_1
PHA3_L,7Networks_LH_DorsAttn_Post_1
STSda_L,7Networks_LH_Default_Temp_3
STSdp_L,7Networks_LH_Default_Temp_4
STSvp_L,7Networks_LH_Default_Temp_4
TGd_L,7Networks_LH_Default_Temp_1
TE1a_L,7Networks_LH_Default_Temp_2
TE1p_L,7Networks_LH_Cont_Temp_1
TE2a_L,7Networks_LH_Limbic_TempPole_2
TF_L,7Networks_LH_Limbic_TempPole_2
TE2p_L,7Networks_LH_DorsAttn_Post_1
PHT_L,7Networks_LH_DorsAttn_Post_2
PH_L,7Networks_LH_DorsAttn_Post_1
VMV1_L,7Networks_LH_Vis_1
VMV3_L,7Networks_LH_Vis_1
PHA2_L,7Networks_LH_Default_PHC_1
V4t_L,7Networks_LH_Vis_3
FST_L,7Networks_LH_DorsAttn_Post_2
V3CD_L,7Networks_LH_Vis_11
LO3_L,7Networks_LH_Vis_11
VMV2_L,7Networks_LH_Vis_1
VVC_L,7Networks_LH_DorsAttn_Post_1
TGv_L,7Networks_LH_Limbic_TempPole_1
MBelt_L,7Networks_LH_SomMot_1
LBelt_L,7Networks_LH_SomMot_2
A4_L,7Networks_LH_SomMot_2
STSva_L,7Networks_LH_Default_Temp_3
TE1m_L,7Networks_LH_Default_Temp_2
PSL_L,7Networks_LH_SalVentAttn_ParOper_1
STV_L,7Networks_LH_Default_Temp_5
TPOJ1_L,7Networks_LH_Default_Temp_5
TPOJ2_L,7Networks_LH_DorsAttn_Post_2
TPOJ3_L,7Networks_LH_Vis_8
7Pm_L,7Networks_LH_DorsAttn_Post_9
7AL_L,7Networks_LH_DorsAttn_Post_10
7Am_L,7Networks_LH_DorsAttn_Post_9
7PL_L,7Networks_LH_DorsAttn_Post_7
7PC_L,7Networks_LH_SomMot_11
LIPv_L,7Networks_LH_DorsAttn_Post_6
VIP_L,7Networks_LH_DorsAttn_Post_8
MIP_L,7Networks_LH_DorsAttn_Post_3
LIPd_L,7Networks_LH_Cont_Par_2
PFt_L,7Networks_LH_DorsAttn_Post_4
AIP_L,7Networks_LH_Cont_Par_3
PGp_L,7Networks_LH_Vis_11
IP2_L,7Networks_LH_Cont_Par_3
IP1_L,7Networks_LH_DorsAttn_Post_3
IP0_L,7Networks_LH_Vis_14
PFop_L,7Networks_LH_SalVentAttn_ParOper_2
PF_L,7Networks_LH_SalVentAttn_ParOper_3
PFm_L,7Networks_LH_Default_Par_4
PGi_L,7Networks_LH_Default_Par_1
PGs_L,7Networks_LH_Default_Par_4
RSC_L,7Networks_LH_Cont_Cing_1
POS2_L,7Networks_LH_Cont_pCun_1
PCV_L,7Networks_LH_Default_pCunPCC_4
7m_L,7Networks_LH_Default_pCunPCC_2
POS1_L,7Networks_LH_Default_pCunPCC_1
23d_L,7Networks_LH_Default_pCunPCC_3
v23ab_L,7Networks_LH_Default_pCunPCC_2
d23ab_L,7Networks_LH_Default_pCunPCC_3
31pv_L,7Networks_LH_Default_pCunPCC_2
p24pr_L,7Networks_LH_SalVentAttn_Med_1
33pr_L,7Networks_LH_Cont_Cing_2
a24pr_L,7Networks_LH_SalVentAttn_Med_1
p32pr_L,7Networks_LH_SalVentAttn_Med_1
a24_L,7Networks_LH_Default_PFC_2
d32_L,7Networks_LH_Default_PFC_8
8BM_L,7Networks_LH_Default_PFC_10
p32_L,7Networks_LH_Default_PFC_2
10r_L,7Networks_LH_Default_PFC_2
9m_L,7Networks_LH_Default_PFC_7
10v_L,7Networks_LH_Limbic_OFC_2
ProS_L,7Networks_LH_Vis_6
DVT_L,7Networks_LH_Vis_12
31pd_L,7Networks_LH_Default_pCunPCC_4
31a_L,7Networks_LH_Default_pCunPCC_4
25_L,7Networks_LH_Default_PFC_2
s32_L,7Networks_LH_Default_PFC_2
pOFC_L,7Networks_LH_Limbic_OFC_1
a32pr_L,7Networks_LH_Default_PFC_8
p24_L,7Networks_LH_Default_PFC_8
4_L,7Networks_LH_SomMot_15
3b_L,7Networks_LH_SomMot_10
5m_L,7Networks_LH_SomMot_15
5mv_L,7Networks_LH_SalVentAttn_Med_2
23c_L,7Networks_LH_SalVentAttn_Med_2
5L_L,7Networks_LH_DorsAttn_Post_10
24dd_L,7Networks_LH_SomMot_8
24dv_L,7Networks_LH_SomMot_8
