,glasser,schaefer
0,V1_L,7Networks_LH_Vis_7
1,V6_L,7Networks_LH_Vis_12
2,V2_L,7Networks_LH_Vis_4
3,V3_L,7Networks_LH_Vis_13
4,V4_L,7Networks_LH_Vis_9
5,V3A_L,7Networks_LH_Vis_14
6,V7_L,7Networks_RH_SomMot_15
7,IPS1_L,7Networks_RH_Cont_Par_2
8,V3B_L,7Networks_LH_Vis_14
9,V6A_L,7Networks_LH_Vis_13
10,MST_L,7Networks_LH_Vis_8
11,V8_L,7Networks_LH_Vis_2
12,FFC_L,7Networks_LH_DorsAttn_Post_1
13,LO1_L,7Networks_LH_Vis_11
14,LO2_L,7Networks_LH_Vis_3
15,PIT_L,7Networks_LH_Vis_5
16,MT_L,7Networks_LH_Vis_8
17,A1_L,7Networks_LH_SomMot_2
18,52_L,7Networks_LH_SomMot_3
19,RI_L,7Networks_LH_SomMot_3
20,PFcm_L,7Networks_LH_SalVentAttn_ParOper_1
21,TA2_L,7Networks_LH_SomMot_1
22,EC_L,7Networks_LH_Limbic_TempPole_1
23,PreS_L,7Networks_LH_Vis_6
24,H_L,7Networks_LH_Default_PHC_1
25,PeEc_L,7Networks_LH_Limbic_TempPole_3
26,STGa_L,7Networks_LH_Default_Temp_3
27,PBelt_L,7Networks_LH_SomMot_2
28,A5_L,7Networks_LH_Default_Temp_4
29,PHA1_L,7Networks_LH_Default_PHC_1
30,PHA3_L,7Networks_LH_DorsAttn_Post_1
31,STSda_L,7Networks_LH_Default_Temp_3
32,STSdp_L,7Networks_LH_Default_Temp_4
33,STSvp_L,7Networks_LH_Default_Temp_4
34,TGd_L,7Networks_LH_Default_Temp_1
35,TE1a_L,7Networks_LH_Default_Temp_2
36,TE1p_L,7Networks_LH_Cont_Temp_1
37,TE2a_L,7Networks_LH_Limbic_TempPole_2
38,TF_L,7Networks_LH_Limbic_TempPole_2
39,TE2p_L,7Networks_LH_DorsAttn_Post_1
40,PHT_L,7Networks_LH_DorsAttn_Post_2
41,PH_L,7Networks_LH_Vis_3
42,VMV1_L,7Networks_LH_Vis_1
43,VMV3_L,7Networks_LH_Vis_1
44,PHA2_L,7Networks_LH_Default_PHC_1
45,V4t_L,7Networks_LH_Vis_3
46,FST_L,7Networks_LH_DorsAttn_Post_2
47,V3CD_L,7Networks_LH_Vis_11
48,LO3_L,7Networks_LH_Vis_11
49,VMV2_L,7Networks_LH_Vis_1
50,VVC_L,7Networks_LH_DorsAttn_Post_1
51,TGv_L,7Networks_LH_Limbic_TempPole_1
52,MBelt_L,7Networks_LH_SomMot_1
53,LBelt_L,7Networks_LH_SomMot_2
54,A4_L,7Networks_LH_SomMot_2
55,STSva_L,7Networks_LH_Default_Temp_3
56,TE1m_L,7Networks_LH_Default_Temp_2
57,PSL_L,7Networks_LH_SalVentAttn_ParOper_1
58,STV_L,7Networks_LH_Default_Temp_5
59,TPOJ1_L,7Networks_LH_Default_Temp_5
60,TPOJ2_L,7Networks_LH_DorsAttn_Post_2
61,TPOJ3_L,7Networks_LH_Vis_8
62,7Pm_L,7Networks_LH_DorsAttn_Post_9
63,7AL_L,7Networks_LH_DorsAttn_Post_10
64,7Am_L,7Networks_LH_DorsAttn_Post_9
65,7PL_L,7Networks_LH_DorsAttn_Post_7
66,7PC_L,7Networks_LH_SomMot_11
67,LIPv_L,7Networks_LH_DorsAttn_Post_6
68,VIP_L,7Networks_LH_DorsAttn_Post_8
69,MIP_L,7Networks_LH_DorsAttn_Post_3
70,LIPd_L,7Networks_LH_Cont_Par_2
71,PFt_L,7Networks_LH_DorsAttn_Post_4
72,AIP_L,7Networks_LH_Cont_Par_3
73,PGp_L,7Networks_LH_Default_Par_2
74,IP2_L,7Networks_LH_Cont_Par_1
75,IP1_L,7Networks_LH_Cont_Par_2
76,IP0_L,7Networks_LH_Vis_14
77,PFop_L,7Networks_LH_SalVentAttn_ParOper_2
78,PF_L,7Networks_LH_SalVentAttn_ParOper_3
79,PFm_L,7Networks_LH_Default_Par_3
80,PGi_L,7Networks_LH_Default_Par_1
81,PGs_L,7Networks_LH_Default_Par_4
82,RSC_L,7Networks_LH_Cont_Cing_1
83,POS2_L,7Networks_LH_Cont_pCun_1
84,PCV_L,7Networks_LH_Default_pCunPCC_4
85,7m_L,7Networks_LH_Default_pCunPCC_2
86,POS1_L,7Networks_LH_Default_pCunPCC_1
87,23d_L,7Networks_LH_Default_pCunPCC_3
88,v23ab_L,7Networks_LH_Default_pCunPCC_2
89,d23ab_L,7Networks_LH_Default_pCunPCC_3
90,31pv_L,7Networks_LH_Default_pCunPCC_2
91,p24pr_L,7Networks_LH_SalVentAttn_Med_1
92,33pr_L,7Networks_LH_Cont_Cing_2
93,a24pr_L,7Networks_LH_SalVentAttn_Med_1
94,p32pr_L,7Networks_LH_SalVentAttn_Med_1
95,a24_L,7Networks_LH_Default_PFC_6
96,d32_L,7Networks_LH_Default_PFC_8
97,8BM_L,7Networks_LH_Default_PFC_10
98,p32_L,7Networks_LH_Default_PFC_2
99,10r_L,7Networks_LH_Default_PFC_2
100,9m_L,7Networks_LH_Default_PFC_7
101,10v_L,7Networks_LH_Limbic_OFC_2
102,ProS_L,7Networks_LH_Vis_10
103,DVT_L,7Networks_LH_Vis_12
104,31pd_L,7Networks_LH_Default_pCunPCC_4
105,31a_L,7Networks_LH_Default_pCunPCC_4
106,25_L,7Networks_LH_Default_PFC_2
107,s32_L,7Networks_LH_Default_PFC_2
108,pOFC_L,7Networks_LH_Limbic_OFC_1
109,a32pr_L,7Networks_LH_Default_PFC_8
110,p24_L,7Networks_LH_Default_PFC_8
111,4_L,7Networks_LH_SomMot_6
112,3b_L,7Networks_LH_SomMot_10
113,5m_L,7Networks_LH_SomMot_15
114,5mv_L,7Networks_LH_SalVentAttn_Med_2
115,23c_L,7Networks_LH_SalVentAttn_Med_2
116,5L_L,7Networks_LH_SomMot_13
117,24dd_L,7Networks_LH_SomMot_8
118,24dv_L,7Networks_LH_SomMot_8
119,SCEF_L,7Networks_LH_SalVentAttn_Med_3
120,6ma_L,7Networks_LH_DorsAttn_FEF_2
121,1_L,7Networks_LH_SomMot_9
122,2_L,7Networks_LH_DorsAttn_Post_5
123,3a_L,7Networks_LH_SomMot_16
