regionName,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
V1_L,0.0646145630697638,0.2042489241068378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6_L,0.0,0.0652539246628683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001434411532668,0.0,0.0,0.0,0.0,0.0,0.0
V2_L,0.0804819466866165,0.1301889916503063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001885428777927,0.0,0.0,0.0,0.0008894536213468,2.8382079554969e-05,0.0
V3_L,0.087554780641817,0.055593220338983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_L,0.0927933167662454,0.0029342522774574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V3A_L,0.025272046143783,0.0474578970418441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V7_L,0.0231455486929939,0.0073064015972133,0.0,0.0,0.017047817047817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IPS1_L,0.0001891431813883,0.0003447532859297,0.0,0.0,0.0155996880062398,0.0,0.0,0.0,0.0,0.0,0.0004705513293075,0.0152624039588488,0.0,0.0,0.0029013539651837,0.0003891429127347,0.0
V3B_L,0.0076737985302724,0.0,0.0,0.0,6.179323981956374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6A_L,0.0051452594591202,0.0317677783961981,0.0,0.0,0.0062712775488263,0.0,0.0,0.0,0.0,0.0,0.0004650081376424,0.0,0.0,0.0,0.0052547770700636,0.0,0.0
MST_L,0.0050241545893719,0.0,0.0,0.0,0.0191047700691935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V8_L,0.0496702764837558,0.0001629925430911,0.0,0.0,5.768676088837612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FFC_L,0.0643497878283289,0.0,0.0,0.0,0.0548833856767749,0.0,0.0,0.0,0.0,0.0,0.0,0.0120254173594187,0.0,0.0,0.0,0.0,0.0
LO1_L,0.0175405388352577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LO2_L,0.0221074510297915,0.0,0.0,0.0,0.0013786489240544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT_L,0.047698076095642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT_L,0.0303237432424035,0.0,0.0,0.0,0.0118350198236582,0.0008804108584005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1_L,0.0,0.0,0.0,0.0466394804410209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52_L,0.0,0.0,0.0,0.0043509338968828,0.0,0.0,0.0011396629853743,0.0,0.0,0.0,0.0,0.0,0.0,0.0001016466761536,0.0,0.0,0.0009496998270189
RI_L,0.0,0.0,0.0002727768685215,0.0500581724888875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.514747859181732e-05,0.0,0.0,0.0
PFcm_L,0.0,0.0,0.0009876218066894,0.0544418409557696,0.0,0.0,0.02517518155179,0.0,0.0,0.0,0.0,0.0,0.0,0.0001812579300344,0.0,0.0,0.0
TA2_L,0.0,0.0,0.0,0.0470351758793969,0.0,0.0,0.0053163211057947,0.0,0.0,0.0,0.0,0.0,0.0,0.0364629994624619,0.0,0.0,0.0029214139643587
EC_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0318541996830427,0.0,0.0,0.0,0.0,0.0,0.0275965198477433,0.0,0.0
PreS_L,0.0,0.0099752645878107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278418926716676,0.0,0.0
H_L,0.0,0.0021397154970876,0.0,0.0,0.0001131029802635,0.0,0.0,0.0,0.0069171012025114,0.0,0.0,0.0,0.0,0.0,0.0282548476454293,0.0,0.0
PeEc_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1937075304849669,0.0,0.0,0.0,0.0,0.0,0.0242130750605326,0.0,0.0
STGa_L,0.0,0.0,0.0,0.0051823686804675,0.0,0.0,0.0007963963067121,0.0,0.0069100116045996,0.0,0.0,0.0,0.0,0.0905929403581985,0.0,0.0005580876197563,0.014993418306739
PBelt_L,0.0,0.0,0.0,0.0570835187657617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155631013016412,0.0,0.0,0.0
A5_L,0.0,0.0,0.0,0.0029711485834918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1416421833926086,0.0,0.0024726681855914,0.0413149574879523
PHA1_L,0.0009186427054027,0.0254588288938708,0.0,0.0,0.0092191186961532,0.0,0.0,0.0,0.0006723906072204,0.0,0.0,0.0,0.0,0.0,0.1398195876288659,0.0,0.0
PHA3_L,0.0120131277478481,8.410075270173667e-05,0.0,0.0,0.0147449130050132,0.0,0.0,0.0,0.014391674969556,0.0,0.0,0.0,0.0,0.0,0.0215650030807147,0.0,0.0
STSda_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537802668423653,0.0,0.0089397656037067,0.060402051152987
STSdp_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812555260831123,0.0,0.0,0.0292359877241156
STSvp_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000352015287521,0.005494741360807,0.0233424159854677,0.0,0.0,0.0233240906866742
TGd_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0020791101408597,0.0,0.2834884224193897,0.0,0.0,0.0,0.0,0.0007893438579181,0.0,0.0,0.1008643367155204
TE1a_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146760644974413,0.0,0.0,0.0,0.0059898993853501,0.0,0.0,0.0296156599786962,0.0695073397562532
TE1p_L,0.0008070617906683,0.0,0.0,0.0,0.0379525956085502,0.0,0.0,0.0,0.0,0.0,0.0,0.0667486993502148,0.0641677016295961,0.0030799384012319,0.0,0.0,0.0093424891691963
TE2a_L,0.0,0.0,0.0,0.0,0.0110949344846628,0.0,0.0,0.0,0.0909652876842605,0.0,0.0,0.0073498296175861,0.0141923508256313,0.0,0.0,6.908582186220833e-05,0.0326319275113639
TF_L,0.0022436733629011,0.0,0.0,0.0,0.0334485003254719,0.0,0.0,0.0,0.1558675647471776,0.0,0.0,0.0,0.0,0.0,0.0061001262095077,0.0,0.0
TE2p_L,0.0058294187560133,0.0,0.0,0.0,0.0733423545331529,0.0,0.0,0.0,0.0286939650770958,0.0,0.0,0.0337530646735378,0.0003276674175711,0.0,0.0,0.0,0.0
