label,response,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF
L_V1,,89.33796055364786,0.0,inf,0.009037528517921238,0.004366199869669597,0.00020257233377063966,inf,19.567221905289394,0.0059429174194948284,0.002792033777177555
L_V6,,68.96534689553074,0.0,inf,0.009299536008950369,0.005240517579002295,0.00025350338154801825,inf,14.729882467764012,0.008249418764990937,0.001968352669721105
L_V2,,84.95247195805042,0.0,inf,0.009091477721515672,0.004320840919288368,0.0001495115435009346,inf,19.458623226389907,0.00608348867625129,0.0024738312908598814
L_V3,,83.49650513519047,0.0,inf,0.008060000061650776,0.004534113155189025,0.0001882907031970549,inf,15.146207254930122,0.006971926224351562,0.002780613610446702
L_V4,,83.91238582895939,0.0,inf,0.008396267556805368,0.004777803529902265,0.00019774390485288206,inf,16.883916484908642,0.007877239099587454,0.00287249706450273
L_V3A,,79.49259330780706,0.0,inf,0.008469744590979975,0.004789159167358707,0.00022723378030736142,inf,15.652839021487637,0.007837631154359908,0.0021841836876144083
L_V7,,70.27154789380955,0.0,inf,0.009260357334843594,0.004918105597972335,0.00022792280440883913,inf,17.496464474293507,0.008354146239500416,0.0013354119274515536
L_IPS1,,56.61211777564947,0.0,inf,0.010892993365698876,0.0063595748711072694,0.0006433018967191745,inf,14.465788759509238,0.010659206169832774,0.001915205075036873
L_V3B,,72.0691435099023,0.0,inf,0.009810540405369368,0.005269508023622323,0.0002741718817952955,inf,14.263475363799351,0.009810540405369368,0.001985464756571942
L_V6A,,66.8236701207507,0.0,inf,0.009566547500633332,0.00560242140609445,0.00041723936300186757,inf,15.90930681751048,0.009025629884975015,0.0025892013516655064
L_MST,,61.39403491093266,0.0,inf,0.010949374254210742,0.006222468720565161,0.0010433191457698042,inf,14.677693141990293,0.009984917598570908,0.0016084920137307208
L_V8,,86.7271656213831,0.0,inf,0.008428179971309582,0.005122913198833963,0.00010237370376338327,inf,17.02965862926674,0.008428179971309582,0.001352230186490915
L_FFC,,80.69541544706502,0.0,inf,0.009266828885595255,0.005924434535025336,0.0006670473844584043,inf,11.849879030922581,0.009266828885595255,0.0028044748390153263
L_LO1,,78.10893065943317,0.0,inf,0.009326579642348549,0.004573578500009441,0.0001975542304818215,inf,15.792821552638229,0.008191812801362584,0.0017806416926561541
L_LO2,,79.83659462410498,0.0,inf,0.009674124051403268,0.004516376577563236,0.00025068014656615584,inf,15.577602226233576,0.009674124051403268,0.0019667448385229354
L_PIT,,83.58137136981931,0.0,inf,0.00902403280416405,0.004976373071623193,0.00021092923856544322,inf,14.174332135105749,0.00902403280416405,0.00191129608642713
L_MT,,63.015998039512674,0.0,inf,0.010720648565844555,0.005151509544780489,0.0006803560513701255,inf,13.811947477560741,0.0096202435935205,0.0018219169427205265
L_A1,,45.03973698361795,0.0,inf,0.015120591251407352,0.006556648750171895,0.001703971630493839,inf,13.04449504604875,0.013868712663691923,0.001611562676093035
L_52,,57.462498821743516,0.0006189642992759682,65.02557999999999,0.0160075811904518,0.00541948118653061,0.0056114627707947165,10.032097385908033,12.337779441156972,0.015378563328462432,0.001133235154695438
L_RI,,38.092241367442824,0.0009479240083435925,54.067,0.018956397253293865,0.009276956586668791,0.00783933890503031,9.417182177657235,9.722466880929371,0.018495570310910536,0.002203497158023729
L_PFcm,,35.81641178413419,0.0007731003127137195,53.04774000000001,0.022249613969197633,0.010146850881504701,0.00844147110160541,9.711297964267887,9.474310836997637,0.018850944451167945,0.0019101991674106374
L_TA2,,70.57744431497613,0.0,inf,0.011357273709160664,0.0061513737004249575,0.0005750240050769931,inf,15.9606031684866,0.006137340842218718,0.0015851431583828088
L_EC,,90.12820763179356,0.0,inf,0.009166803347524078,0.006422351074900904,0.00023251317157352253,inf,12.46396329713822,0.009166803347524078,0.0015558589843775409
L_PreS,,72.68813256112416,0.00045210078873830507,88.13156250000003,0.011346672765503274,0.006047604244911795,0.0014211145498565802,10.485309151151553,10.485309151151553,0.011346672765503274,0.0021406560168817502
L_H,0.034,74.93452439194384,0.0,inf,0.010413779012527984,0.005422526476884159,0.00010183478010108628,inf,15.927779641674205,0.009117430660629193,0.0005575896186066985
L_PeEc,,92.42882550574055,0.0,inf,0.0104672036342131,0.007060772132768966,0.0003270548500503231,inf,19.673238594215377,0.006659269550050469,0.0024707250032815157
L_STGa,,87.40178545095013,0.0,inf,0.01056124125846061,0.006423021746790128,0.0004607571576015396,inf,18.376687441432452,0.004656182805461889,0.0020162091233202
L_PBelt,,47.882272686342304,0.0,inf,0.013040502758327143,0.007055223668150424,0.0023029979063647135,inf,13.842323136982648,0.009319369190538232,0.0021753038590642437
L_A5,,61.932305072602425,0.0,inf,0.011143762334751934,0.007151670665545092,0.0014702759361576944,inf,15.973976298042919,0.008996475540742158,0.0028353670503670986
L_PHA1,,77.29207291618903,0.0,inf,0.010963885716733443,0.006035796515186292,0.00016093829456036575,inf,15.320635356629941,0.009494483100045574,0.0018268258660706273
L_PHA3,,77.96869247799421,0.0,inf,0.00944628699520223,0.005851903169883404,0.00020484818313753006,inf,21.480651770269898,0.008613497199375217,0.0018026902309469272
L_STSda,,74.03860960243951,0.0,inf,0.010906997558795806,0.006538770256700594,0.0008853364673095936,inf,17.72730542477545,0.007679032417342511,0.0023420878527882914
L_STSdp,,55.778545161489475,0.0,inf,0.012174413570672714,0.007163561063597574,0.0017182757919753557,inf,16.096996890335635,0.008944548628559193,0.0018997089792203222
L_STSvp,,61.431429852554096,0.0,inf,0.011495420914033105,0.0069857761840629706,0.0021059797592920806,inf,16.813114987499787,0.008881742441548365,0.002272472899448216
L_TGd,,100.1264716811196,0.0,inf,0.010831821030587115,0.008051901550231173,0.0011695436789420938,inf,16.00075310048209,0.004685537199182655,0.0034989791296540676
L_TE1a,,84.10724757920866,0.0,inf,0.00971569354603966,0.0071345536529789115,0.0010538989743754748,inf,18.45329335051405,0.007561498422822659,0.002769385417333268
L_TE1p,,70.7054230902729,0.0017731198274162543,93.18132,0.010731764692751724,0.009833853626406692,0.006957979862509922,8.513735454015075,8.513735454015075,0.010731764692751724,0.0036095148847249373
L_TE2a,,86.0007187129807,0.00047023844028172817,111.3691,0.009151039741135387,0.007990753389234818,0.002281126317653914,10.42856110686431,17.96189436475519,0.008979151308576615,0.0031672797367718903
L_TF,,86.46782466379902,0.0,inf,0.00838587061306057,0.007269398795953195,0.0004977753896328223,inf,13.236523474750653,0.007549144553586622,0.0027040369416528086
L_TE2p,,79.21822714888644,0.0006064427666849355,96.3951428571429,0.010373966678819024,0.006221419885005109,0.0026748609343162145,10.061582088984727,10.061582088984727,0.010373966678819024,0.0019105721586955135
L_PHT,,64.15032826096507,0.002576655494385786,86.46651999999999,0.011565169964050827,0.010534888888196479,0.009090221164287355,7.974525832888145,7.974525832888145,0.011565169964050827,0.0031945989976005645
L_PH,,72.5340019134896,0.0013920232330088642,89.25765999999997,0.011203520235686219,0.0059957908717868,0.004081304744804519,8.862842200745424,8.862842200745424,0.011203520235686219,0.0029368454172044407
L_VMV1,,73.54917581717211,0.0,inf,0.010386012782689092,0.0044423620204747,6.975006786083535e-05,inf,19.3937449298045,0.008634354078757697,0.001241735120484967
