label,response,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF
L_V1,,86.13060726815777,0.0,inf,0.009180092858475281,0.004199399604062245,0.00014222874482539122,inf,18.968501100955187,0.005997894467673695,0.002778441243923508
L_V6,,66.90537688549261,0.0,inf,0.009450555418592506,0.005002050633824417,0.00019281228991584897,inf,14.131161663429808,0.008233636073839722,0.0019624507272573513
L_V2,,81.75996170440295,0.0,inf,0.00923576279457927,0.0041574234570835285,0.00010401196429577611,inf,18.8599024220557,0.006358428929123376,0.002462892864339041
L_V3,,81.10087166095036,0.0,inf,0.008173198714323149,0.00435450062366469,0.0001311079703422154,inf,14.547486450595917,0.007003876509414021,0.00276614972763527
L_V4,,82.4871257212807,0.0,inf,0.00843041518445917,0.004578788975730341,9.905158876510146e-05,inf,21.53023621009375,0.0073163609235420675,0.0028536555679363916
L_V3A,,77.95605761615464,0.0,inf,0.008594834415410707,0.0045892172683307565,0.00014375105785898197,inf,15.054118217153432,0.006895039675503208,0.002174527075715769
L_V7,,69.56783775311284,0.0,inf,0.009562347867314337,0.0047074887714588344,0.00011387397493854453,inf,21.666864052876235,0.008888727203259653,0.0013312407713209902
L_IPS1,,55.58744161595001,0.0,inf,0.01095508873731428,0.00601176946708339,0.0003047908943261886,inf,19.685415078125455,0.010632870677931897,0.0019061426080175128
L_V3B,,70.9644138833486,0.0,inf,0.009301960425367486,0.005028456071348372,0.00012224058659678598,inf,17.358924331102436,0.008846872597495874,0.0019761210330753007
L_V6A,,66.54370994262717,0.0,inf,0.009443495904168884,0.005330734476237259,0.00023610081336479622,inf,22.020208618555735,0.009006740786758874,0.0025750298274135174
L_MST,,60.889073756975826,0.0,inf,0.010891224451465701,0.005889105284865944,0.0003977055118154399,inf,15.165782940184442,0.010891224451465701,0.001599035850515327
L_V8,,84.62470029019318,0.0,inf,0.008508647073307136,0.004894796257769236,4.234905371490854e-05,inf,22.265109517757455,0.006045698467403348,0.0013478754130972896
L_FFC,,78.66853999951309,0.0,inf,0.008921079981295278,0.005621462763907365,0.00019319036202582968,inf,15.085306552268902,0.0066884174000516345,0.0027820809120773123
L_LO1,,78.38400876310786,0.0,inf,0.008759800548280086,0.004390888623833735,6.47303419076909e-05,inf,20.871656127272338,0.007868404834927992,0.0017719706166141643
L_LO2,,79.95905533651745,0.0,inf,0.008920176547697323,0.004338138896996452,8.105313919785113e-05,inf,21.025619003645616,0.007085898756137468,0.001956163743887701
L_PIT,,83.19467061461503,0.0,inf,0.00822309993763601,0.004760845449625399,7.179251620044471e-05,inf,18.688875689965805,0.006382278376369733,0.0019017699181028943
L_MT,,62.89642260038497,0.0,inf,0.01036452067694333,0.004920896098113454,0.0002585590947879897,inf,16.41711118826389,0.01036452067694333,0.0018110757901834247
L_A1,,41.78657182094073,0.0,inf,0.0131281387738791,0.00618757888209811,0.0009366806988210317,inf,17.13825200780435,0.010258756016797045,0.0016003596365568855
L_52,,53.0702647673769,0.00039237741300885207,67.39921999999997,0.01483696695599742,0.0051648445493046626,0.003654337139418897,10.236324282162395,10.236324282162395,0.01483696695599742,0.0011275717344559806
L_RI,0.236,34.95137794402649,0.0003999877774057596,61.52938000000001,0.016252398447700916,0.00855496876042294,0.0043698708910969485,10.208610362522668,10.208610362522668,0.016252398447700916,0.002177695323178765
L_PFcm,0.301,34.99146929588926,0.0007075761280000506,68.00676000000001,0.016296736187456792,0.009289371778254276,0.005639369376235309,9.385680902539931,13.12491191200578,0.014704420560544272,0.001890597868262914
L_TA2,0.0,66.80298618676427,0.0,inf,0.010719825566998378,0.005825384914214316,0.000321354565341451,inf,15.648536310271808,0.005697703264883739,0.0015756450716155896
L_EC,,83.92653647262334,0.0,inf,0.00929801649133397,0.006067836700298263,0.0002483602126295442,inf,15.466018261026367,0.009106621377126383,0.0015523207856146686
L_PreS,0.009,66.68140758797114,0.0004900148249928564,88.85248936170211,0.011548397602090721,0.005732239175168351,0.0015630947000905946,9.915740880726688,13.4873641150397,0.011254608702398694,0.002135677315834018
L_H,0.008,69.69638555767968,0.0,inf,0.00973809775608909,0.005167610320977437,7.660695413888318e-05,inf,19.327841633931452,0.009057893123035935,0.0005570972021497006
L_PeEc,0.034,87.026156288809,0.0,inf,0.009982133976608663,0.006634611235237686,0.00022194169230478405,inf,14.305093606167773,0.008294168804257342,0.00245834688704527
L_STGa,,83.25368859871145,0.0,inf,0.010118503869922992,0.006068435370006543,0.00026596565168170714,inf,13.721141754516065,0.004652842142094077,0.0020025575680017943
L_PBelt,0.038,46.37319395720648,0.0,inf,0.011701257534147193,0.006629712093693926,0.0012922187118190518,inf,14.328466618575945,0.009532850297453531,0.0021557220878727973
L_A5,0.052,60.45949416461078,0.0,inf,0.01027172619029277,0.00671480601906235,0.000777907458654963,inf,15.742492512062697,0.007606774776178259,0.0028040312058757095
L_PHA1,,71.80302365189361,0.0,inf,0.011174410523277167,0.005721629734140193,0.00017219379811584168,inf,14.721914552295736,0.009429936805459074,0.0018222223210937615
L_PHA3,,73.7958668778063,0.0,inf,0.009602150267122217,0.005556119216299062,0.00011131431741037385,inf,20.881930965935695,0.00856034004293393,0.0017958180122453966
