label,response,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF
L_V1,,86.73329521112409,0.0,inf,0.010307697128522966,0.0040430321056621615,0.0002615229920278623,inf,17.289715912528866,0.00574883458100173,0.0027763092539533655
L_MST,,66.76347997598612,0.0,inf,0.0106499213929302,0.0055795285324884885,0.0003826447730694041,inf,12.452376475003486,0.008140738935000927,0.001961950123363997
L_V6,,82.43446953429103,0.0,inf,0.010377935347123259,0.003973584451540274,0.00019658202451126828,inf,17.181117233629383,0.005880272722344644,0.0024610985003973287
L_V2,,82.4964829924343,0.0,inf,0.009055129970812212,0.004073118618851716,0.00024704321092261473,inf,12.868701262169596,0.006706316214727607,0.0027636628672042985
L_V3,,85.61666045870999,0.0,inf,0.009371927179376063,0.0042687060968679665,0.00018333682154121175,inf,19.851451021667433,0.007832051958484831,0.002849495301679928
L_V4,,78.31739799032943,0.0,inf,0.009575565483163122,0.004426823901308044,0.000256765407628574,inf,13.375333028727113,0.007503544659183643,0.002172664663814709
L_V8,,71.25804432871684,0.0,inf,0.010245592137081792,0.004536772955027095,0.00020422721094909624,inf,15.618103289817876,0.007975638169060417,0.0013303036229031582
L_4,,56.569344886795825,0.0,inf,0.01143085896354732,0.005736119509062022,0.000603371845949643,inf,14.540189919353889,0.010478453866352561,0.001904186405654795
L_3b,,73.4115782161898,0.0,inf,0.010461592668683243,0.004705671223348457,0.0002485575476957375,inf,15.680139142676115,0.009292647432431463,0.0019740664280750646
L_FEF,,67.33898100690094,0.0,inf,0.00997891677131838,0.005112868652678584,0.00044777141716658173,inf,15.983707977355131,0.008895696943006768,0.002572260569433373
L_PEF,,65.80158842736941,0.0,inf,0.010794044450738572,0.0053859070835832945,0.0008102504873819882,inf,14.798025564385537,0.00991242566130859,0.0015965279857522792
L_55b,,88.1542581568286,0.0,inf,0.009468709051778646,0.004555630014232795,8.047336315961813e-05,inf,20.586324329331134,0.008452911147062318,0.0013468877142247834
L_V3A,,83.48129137527079,0.0,inf,0.009296735432759313,0.005178673177440278,0.0004717804945358558,inf,12.419709188143372,0.009296735432759313,0.002776993670358015
L_RSC,,82.93988723323116,0.0,inf,0.009263301534868732,0.004104938689729264,0.00014710022880459785,inf,16.57059567595452,0.00782755106278974,0.0017699361468945618
L_POS2,,85.21960539102025,0.0,inf,0.009606059310876283,0.00406961303168061,0.0001954871445789049,inf,16.355376349549868,0.009606059310876283,0.0019537134196174555
L_V7,,88.40393309010145,0.0,inf,0.009052390347037866,0.0044393788555374255,0.00016557558938340826,inf,14.744162292326541,0.009052390347037866,0.0018995757475202748
L_IPS1,,67.90074993195348,0.0,inf,0.01111755187949997,0.004564549192660295,0.0005481743649410313,inf,16.62764610090648,0.009552932283092017,0.0018083123818492136
L_FFC,,47.417855272817164,0.0,inf,0.012862378212571897,0.005634476852399823,0.0009088403822268514,inf,17.549255139104275,0.011181021602276811,0.0015919189893614067
L_V3B,,57.07046590313271,0.0,inf,0.013498639472127606,0.004773695005981687,0.0019866791868596518,inf,16.842539534212495,0.011363440086034881,0.0011216876230154798
L_LO1,0.338,40.171497794565596,0.00037489896738776953,60.31972,0.016578326291965546,0.007532627634178448,0.0034837983991373705,10.805120537586493,10.805120537586493,0.016578326291965546,0.002154095699131887
L_LO2,0.236,42.71063329213055,0.0,inf,0.01590449667834587,0.008096210764419317,0.00316521863735519,inf,11.60380176172848,0.014571889542745757,0.0018690905494993912
L_PIT,0.029,71.11683697519985,0.0,inf,0.010034071693843617,0.0054366951000141585,0.00036817537672335644,inf,20.465363261542123,0.005389016517419211,0.0015695416321206506
L_MT,0.041,84.93791908146255,0.0,inf,0.01045660435994393,0.006089186670931597,0.0002561189048130016,inf,13.787233072600046,0.008859971647795393,0.0015514366513957826
L_A1,0.033,67.6113089267804,0.00037138005190167804,91.90945833333336,0.013391251388337992,0.005975643695483178,0.001394655989914757,10.81872606424728,11.80857892661338,0.010880273022317703,0.0021340683728937764
L_PSL,0.034,72.0843106977617,0.0,inf,0.010392409051871426,0.005183087164045007,8.463240596212179e-05,inf,17.98210346088092,0.00881384053832235,0.0005569760716327777
L_SFL,0.034,89.15382112547341,0.0,inf,0.010089713698319982,0.006660144316606366,0.00030774292990557085,inf,14.25193631146933,0.006823662770218751,0.002454539166695682
L_PCV,,86.79346574700553,0.0,inf,0.009607993850883937,0.006089789561156214,0.00032156272517658345,inf,14.042821077337267,0.006742610941234775,0.001994672855360851
L_STV,0.083,53.42250447134137,0.0,inf,0.011869261508792037,0.005998772258754844,0.0013926398056274645,inf,14.924976793639768,0.009443764178631443,0.0021411553638585913
L_7Pm,0.06,67.29129134411124,0.0,inf,0.009993833804542596,0.006068355362692168,0.0010245106565379958,inf,16.125544836819703,0.009112346299776872,0.002784505113453517
L_7m,,73.26532487315187,0.0,inf,0.012890967048409946,0.005740609105995366,0.0002873107210499178,inf,13.043129363869415,0.009165716474661963,0.0018215750918647747
