,roi_label,roi_name,R,A,S,roi_label_17,roi_name_17,idx_17
0,1,7Networks_LH_Vis_1,-24,-54,-10,7,17Networks_LH_VisPeri_ExStrInf_1,6
1,2,7Networks_LH_Vis_2,-26,-78,-14,1,17Networks_LH_VisCent_ExStr_1,0
2,3,7Networks_LH_Vis_3,-46,-70,-8,30,17Networks_LH_DorsAttnA_TempOcc_2,29
3,4,7Networks_LH_Vis_4,-10,-68,-4,8,17Networks_LH_VisPeri_ExStrInf_2,7
4,5,7Networks_LH_Vis_5,-26,-96,-12,2,17Networks_LH_VisCent_ExStr_2,1
5,6,7Networks_LH_Vis_6,-14,-44,-2,9,17Networks_LH_VisPeri_ExStrInf_3,8
6,7,7Networks_LH_Vis_7,-6,-92,-4,3,17Networks_LH_VisCent_Striate_1,2
7,8,7Networks_LH_Vis_8,-48,-70,10,31,17Networks_LH_DorsAttnA_ParOcc_1,30
8,9,7Networks_LH_Vis_9,-22,-96,6,4,17Networks_LH_VisCent_ExStr_3,3
9,10,7Networks_LH_Vis_10,-12,-70,8,10,17Networks_LH_VisPeri_StriCal_1,9
10,11,7Networks_LH_Vis_11,-40,-84,10,5,17Networks_LH_VisCent_ExStr_4,4
11,12,7Networks_LH_Vis_12,-12,-72,22,11,17Networks_LH_VisPeri_ExStrSup_1,10
12,13,7Networks_LH_Vis_13,-6,-88,28,12,17Networks_LH_VisPeri_ExStrSup_2,11
13,14,7Networks_LH_Vis_14,-24,-88,24,6,17Networks_LH_VisCent_ExStr_5,5
14,15,7Networks_LH_SomMot_1,-50,-4,-2,21,17Networks_LH_SomMotB_Aud_1,20
15,16,7Networks_LH_SomMot_2,-54,-24,10,22,17Networks_LH_SomMotB_Aud_2,21
16,17,7Networks_LH_SomMot_3,-36,-22,16,23,17Networks_LH_SomMotB_S2_1,22
17,18,7Networks_LH_SomMot_4,-56,-4,10,24,17Networks_LH_SomMotB_S2_2,23
18,19,7Networks_LH_SomMot_5,-52,-22,18,26,17Networks_LH_SomMotB_S2_3,25
19,20,7Networks_LH_SomMot_6,-56,-8,30,27,17Networks_LH_SomMotB_Cent_1,26
20,21,7Networks_LH_SomMot_7,-48,-8,46,28,17Networks_LH_SomMotB_Cent_2,27
21,22,7Networks_LH_SomMot_8,-8,-12,46,13,17Networks_LH_SomMotA_1,12
22,23,7Networks_LH_SomMot_9,-48,-28,56,14,17Networks_LH_SomMotA_2,13
23,24,7Networks_LH_SomMot_10,-40,-26,56,15,17Networks_LH_SomMotA_3,14
24,25,7Networks_LH_SomMot_11,-30,-46,62,37,17Networks_LH_DorsAttnB_PostC_3,36
25,26,7Networks_LH_SomMot_12,-32,-22,64,16,17Networks_LH_SomMotA_4,15
26,27,7Networks_LH_SomMot_13,-26,-38,68,17,17Networks_LH_SomMotA_5,16
27,28,7Networks_LH_SomMot_14,-20,-10,68,18,17Networks_LH_SomMotA_6,17
28,29,7Networks_LH_SomMot_15,-4,-32,66,19,17Networks_LH_SomMotA_7,18
29,30,7Networks_LH_SomMot_16,-20,-30,68,20,17Networks_LH_SomMotA_8,19
30,31,7Networks_LH_DorsAttn_Post_1,-44,-48,-20,29,17Networks_LH_DorsAttnA_TempOcc_1,28
31,32,7Networks_LH_DorsAttn_Post_2,-56,-60,-2,57,17Networks_LH_ContA_Temp_1,56
32,33,7Networks_LH_DorsAttn_Post_3,-26,-70,38,32,17Networks_LH_DorsAttnA_SPL_1,31
33,34,7Networks_LH_DorsAttn_Post_4,-54,-26,42,35,17Networks_LH_DorsAttnB_PostC_1,34
34,35,7Networks_LH_DorsAttn_Post_5,-40,-36,48,36,17Networks_LH_DorsAttnB_PostC_2,35
35,36,7Networks_LH_DorsAttn_Post_6,-32,-48,46,60,17Networks_LH_ContA_IPS_3,59
36,37,7Networks_LH_DorsAttn_Post_7,-16,-72,54,33,17Networks_LH_DorsAttnA_SPL_2,32
37,38,7Networks_LH_DorsAttn_Post_8,-30,-60,60,34,17Networks_LH_DorsAttnA_SPL_3,33
38,39,7Networks_LH_DorsAttn_Post_9,-6,-60,56,73,17Networks_LH_ContC_pCun_2,72
39,40,7Networks_LH_DorsAttn_Post_10,-18,-54,68,38,17Networks_LH_DorsAttnB_PostC_4,37
40,41,7Networks_LH_DorsAttn_FEF_1,-32,-4,54,39,17Networks_LH_DorsAttnB_FEF_1,38
41,42,7Networks_LH_DorsAttn_FEF_2,-22,6,62,61,17Networks_LH_ContA_PFCd_1,60
42,43,7Networks_LH_DorsAttn_PrCv_1,-48,6,28,64,17Networks_LH_ContA_PFCl_2,63
43,44,7Networks_LH_SalVentAttn_ParOper_1,-56,-40,20,25,17Networks_LH_SomMotB_Aud_3,24
44,45,7Networks_LH_SalVentAttn_ParOper_2,-62,-26,28,40,17Networks_LH_SalVentAttnA_ParOper_1,39
45,46,7Networks_LH_SalVentAttn_ParOper_3,-60,-40,36,47,17Networks_LH_SalVentAttnB_IPL_1,46
46,47,7Networks_LH_SalVentAttn_FrOperIns_1,-40,-4,-4,41,17Networks_LH_SalVentAttnA_Ins_1,40
47,48,7Networks_LH_SalVentAttn_FrOperIns_2,-34,20,6,49,17Networks_LH_SalVentAttnB_Ins_1,48
48,49,7Networks_LH_SalVentAttn_FrOperIns_3,-38,0,10,42,17Networks_LH_SalVentAttnA_FrOper_1,41
49,50,7Networks_LH_SalVentAttn_FrOperIns_4,-52,8,10,43,17Networks_LH_SalVentAttnA_FrOper_2,42
50,51,7Networks_LH_SalVentAttn_PFCl_1,-28,42,32,48,17Networks_LH_SalVentAttnB_PFCl_1,47
51,52,7Networks_LH_SalVentAttn_Med_1,-6,10,42,45,17Networks_LH_SalVentAttnA_FrMed_1,44
52,53,7Networks_LH_SalVentAttn_Med_2,-12,-36,46,44,17Networks_LH_SalVentAttnA_ParMed_1,43
53,54,7Networks_LH_SalVentAttn_Med_3,-6,-2,66,46,17Networks_LH_SalVentAttnA_FrMed_2,45
54,55,7Networks_LH_Limbic_OFC_1,-24,22,-20,51,17Networks_LH_LimbicB_OFC_1,50
55,56,7Networks_LH_Limbic_OFC_2,-10,36,-20,52,17Networks_LH_LimbicB_OFC_2,51
56,57,7Networks_LH_Limbic_TempPole_1,-30,-6,-40,53,17Networks_LH_LimbicA_TempPole_1,52
57,58,7Networks_LH_Limbic_TempPole_2,-44,-20,-30,54,17Networks_LH_LimbicA_TempPole_2,53
58,59,7Networks_LH_Limbic_TempPole_3,-28,10,-34,55,17Networks_LH_LimbicA_TempPole_3,54
59,60,7Networks_LH_Limbic_TempPole_4,-42,8,-18,56,17Networks_LH_LimbicA_TempPole_4,55
60,61,7Networks_LH_Cont_Par_1,-54,-50,46,68,17Networks_LH_ContB_IPL_1,67
61,62,7Networks_LH_Cont_Par_2,-34,-62,48,58,17Networks_LH_ContA_IPS_1,57
62,63,7Networks_LH_Cont_Par_3,-46,-42,46,59,17Networks_LH_ContA_IPS_2,58
63,64,7Networks_LH_Cont_Temp_1,-60,-42,-14,67,17Networks_LH_ContB_Temp_1,66
64,65,7Networks_LH_Cont_OFC_1,-32,42,-14,93,17Networks_LH_DefaultB_PFCv_2,92
65,66,7Networks_LH_Cont_PFCl_1,-42,50,-6,70,17Networks_LH_ContB_PFClv_1,69
66,67,7Networks_LH_Cont_PFCl_2,-28,58,8,71,17Networks_LH_ContB_PFClv_2,70
67,68,7Networks_LH_Cont_PFCl_3,-42,40,16,62,17Networks_LH_ContA_PFClv_1,61
68,69,7Networks_LH_Cont_PFCl_4,-44,20,28,63,17Networks_LH_ContA_PFCl_1,62
69,70,7Networks_LH_Cont_PFCl_5,-42,6,44,65,17Networks_LH_ContA_PFCl_3,64
70,71,7Networks_LH_Cont_pCun_1,-10,-74,38,72,17Networks_LH_ContC_pCun_1,71
71,72,7Networks_LH_Cont_Cing_1,-4,-28,28,74,17Networks_LH_ContC_Cingp_1,73
72,73,7Networks_LH_Cont_Cing_2,-4,4,30,66,17Networks_LH_ContA_Cingm_1,65
73,74,7Networks_LH_Default_Temp_1,-46,8,-32,83,17Networks_LH_DefaultB_Temp_1,82
74,75,7Networks_LH_Default_Temp_2,-60,-18,-22,84,17Networks_LH_DefaultB_Temp_2,83
75,76,7Networks_LH_Default_Temp_3,-56,-6,-12,85,17Networks_LH_DefaultB_Temp_3,84
76,77,7Networks_LH_Default_Temp_4,-58,-30,-4,86,17Networks_LH_DefaultB_Temp_4,85
77,78,7Networks_LH_Default_Temp_5,-58,-42,8,99,17Networks_LH_TempPar_1,98
