,roi_name,geom_mica,idx_csv,geom_csv
0,7Networks_LH_Vi,[-23.94473648071289 -53.788291931152344 -7.623338222503662],0,[-24 -54 -10]
1,7Networks_LH_Vi,[-27.634912490844727 -75.25148010253906 -14.97925090789795],1,[-26 -78 -14]
2,7Networks_LH_Vi,[-43.21422576904297 -70.14874267578125 -7.832459449768066],2,[-46 -70 -8]
3,7Networks_LH_Vi,[-10.674656867980957 -67.70524597167969 -4.099953651428223],3,[-10 -68 -4]
4,7Networks_LH_Vi,[-26.30338478088379 -98.43891906738281 -13.606473922729492],4,[-26 -96 -12]
5,7Networks_LH_Vi,[-15.027273178100586 -46.90501403808594 -3.6628150939941406],5,[-14 -44 -2]
6,7Networks_LH_Vi,[-9.58849811553955 -93.61445617675781 -3.2543342113494873],6,[-6 -92 -4]
7,7Networks_LH_Vi,[-44.83649444580078 -69.65016174316406 4.85666036605835],7,[-48 -70 10]
8,7Networks_LH_Vi,[-23.457530975341797 -95.13492584228516 1.9017391204833984],8,[-22 -96 6]
9,7Networks_LH_Vis,[-14.723381042480469 -71.2397232055664 6.974854946136475],9,[-12 -70 8]
10,7Networks_LH_Vis,[-39.66260528564453 -84.34449768066406 5.197229862213135],10,[-40 -84 10]
11,7Networks_LH_Vis,[-12.140420913696289 -71.66446685791016 19.620229721069336],11,[-12 -72 22]
12,7Networks_LH_Vis,[-12.867410659790039 -89.51493835449219 28.271474838256836],12,[-6 -88 28]
13,7Networks_LH_Vis,[-24.85622787475586 -83.50724792480469 20.882556915283203],13,[-24 -88 24]
14,7Networks_LH_SomMo,[-49.986602783203125 -7.636855125427246 -0.8400527238845825],14,[-50 -4 -2]
15,7Networks_LH_SomMo,[-51.91765594482422 -28.831619262695312 6.782279014587402],15,[-54 -24 10]
16,7Networks_LH_SomMo,[-36.99293518066406 -20.359203338623047 14.408102035522461],16,[-36 -22 16]
17,7Networks_LH_SomMo,[-56.877052307128906 -8.02302074432373 6.487510681152344],17,[-56 -4 10]
18,7Networks_LH_SomMo,[-54.2724723815918 -24.158859252929688 18.30902862548828],18,[-52 -22 18]
19,7Networks_LH_SomMo,[-53.765625 -10.336954116821289 28.833948135375977],19,[-56 -8 30]
20,7Networks_LH_SomMo,[-45.95804977416992 -14.366704940795898 46.516357421875],20,[-48 -8 46]
21,7Networks_LH_SomMo,[-8.710479736328125 -12.067604064941406 47.71623992919922],21,[-8 -12 46]
22,7Networks_LH_SomMo,[-49.282264709472656 -29.149805068969727 55.4981575012207],22,[-48 -28 56]
23,7Networks_LH_SomMot,[-38.83649826049805 -23.206478118896484 52.67497634887695],23,[-40 -26 56]
24,7Networks_LH_SomMot,[-29.609649658203125 -44.584686279296875 58.36018753051758],24,[-30 -46 62]
25,7Networks_LH_SomMot,[-30.24374771118164 -25.276376724243164 61.89606857299805],25,[-32 -22 64]
26,7Networks_LH_SomMot,[-26.50943374633789 -35.8847770690918 62.711761474609375],26,[-26 -38 68]
27,7Networks_LH_SomMot,[-22.140697479248047 -14.686541557312012 63.2509765625],27,[-20 -10 68]
28,7Networks_LH_SomMot,[-9.859506607055664 -33.72076416015625 66.2181167602539],28,[-4 -32 66]
29,7Networks_LH_SomMot,[-19.80909538269043 -31.253803253173828 61.673973083496094],29,[-20 -30 68]
30,7Networks_LH_DorsAttn_Pos,[-41.93561553955078 -48.12290954589844 -21.406957626342773],30,[-44 -48 -20]
31,7Networks_LH_DorsAttn_Pos,[-56.6963996887207 -60.47388458251953 -5.613211631774902],31,[-56 -60 -2]
32,7Networks_LH_DorsAttn_Pos,[-26.562625885009766 -66.16010284423828 33.98329544067383],32,[-26 -70 38]
33,7Networks_LH_DorsAttn_Pos,[-51.00142288208008 -26.112262725830078 39.08561325073242],33,[-54 -26 42]
34,7Networks_LH_DorsAttn_Pos,[-36.98011779785156 -34.93666458129883 42.72397994995117],34,[-40 -36 48]
